"Disease","Adjusted_P_Value","Associated_Genes"
"Mammary Neoplasms",7.75863074848246e-09,"ADH1B;TNC;LPL;PTN;ETS1;CDH5;FCGR3A;EPB41L3;MRC1;KDR;SPP1;GABRP;IL33;POSTN;MMP7;LUM;CAVIN2;MMP2;ADIPOQ;ADAM33;KRT5;LYVE1;DCN;DKK3;GREM1;SFRP1;ZEB2;SFRP2;COL1A2;CDH11;DPYD;KRT14;SCGB3A1;SCGB2A2;LALBA;ACKR1;TLR4;CD200;MT1E"
"Liver Cirrhosis, Experimental",7.75863074848246e-09,"C1QB;IL33;CD163;LUM;MMP2;ADIPOQ;LPL;G0S2;PTN;NID1;RCSD1;FLI1;CDH5;ARMCX1;FCGR3A;ZEB2;TYROBP;COL1A2;LBH;C7;S1PR1;TLR4;C1QC"
"Neoplasm Metastasis",7.75863074848246e-09,"SEMA5A;TINAGL1;TNC;HBB;DEFB1;CSN2;ETS1;CHRDL1;CDH5;SLCO2B1;MRC1;KDR;POSTN;MMP7;MMP2;KRT5;MPEG1;DCN;DKK3;GREM1;SFRP1;ZEB2;SFRP2;CDH11;DPYD;SCGB2A2;MMP19;TLR4;ADH1B;KLK5;DPT;LPL;PTN;NID1;EPB41L3;SPP1;S1PR1;IRX1;IL33;CD163;LUM;CAVIN2;LYVE1;FLI1;COL1A2;FABP4;KRT14;SCGB3A1;ACKR1;CD200"
"Carcinoma, Spindle-Cell",1.15945489628e-07,"TLE4;ZEB2;FABP4;MMP2;S1PR1;LPL;G0S2;CSN3;CSN2;KRT5;PTN;TLR4"
"Anaplastic carcinoma",2.38266698374281e-07,"TLE4;FABP4;TNC;S1PR1;LPL;G0S2;CSN3;CSN2;KRT5;PTN;ETS1;TLR4"
"Carcinoma",3.82441226185578e-07,"TLE4;GREM1;FABP4;S1PR1;LPL;G0S2;CSN3;CSN2;KRT5;PTN;TLR4;FLI1"
"Secondary malignant neoplasm of bone",4.02095283340642e-07,"POSTN;MMP7;MMP2;TNC;F13A1;ETS1;DCN;MFAP5;ZEB2;FABP4;CDH11;KDR;SPP1;TLR4"
"Malignant neoplasm of breast",8.99263526091354e-07,"TINAGL1;TNC;HBB;CSN2;ETS1;CDH5;FCGR3A;SLCO2B1;MRC1;KDR;CSN1S1;TLE4;POSTN;MMP7;MMP2;ADIPOQ;KRT5;MPEG1;DCN;DKK3;SFRP1;ZEB2;SFRP2;CDH11;DPYD;SCGB2A2;LALBA;TLR4;MT1E;C1QB;ADH1B;KLK5;DPT;LPL;PTN;IGKC;EPB41L3;SPP1;S1PR1;GABRP;IL33;CD163;LUM;CAVIN2;ADAM33;LYVE1;FLI1;MFAP5;FABP4;KRT14;SCGB3A1;ACKR1;CD200"
"Breast Carcinoma",1.37024893442853e-06,"TINAGL1;TNC;HBB;CSN2;ETS1;CDH5;FCGR3A;SLCO2B1;MRC1;KDR;CSN1S1;TLE4;POSTN;MMP7;MMP2;ADIPOQ;KRT5;MPEG1;DCN;DKK3;SFRP1;ZEB2;SFRP2;CDH11;DPYD;SCGB2A2;LALBA;TLR4;MT1E;ADH1B;KLK5;DPT;PTN;NID1;IGKC;EPB41L3;SPP1;S1PR1;GABRP;IL33;CD163;LUM;CAVIN2;ADAM33;LYVE1;FLI1;MFAP5;FABP4;KRT14;SCGB3A1;ACKR1;CD200"
"Mammary Neoplasms, Experimental",2.04971905783923e-06,"TLE4;FABP4;SPP1;S1PR1;LPL;G0S2;CSN3;CSN2;KRT5;PTN"
"Carcinomatosis",4.64767021214115e-06,"TLE4;FABP4;S1PR1;LPL;G0S2;CSN3;CSN2;KRT5;PTN;TLR4"
"Bladder Neoplasm",5.4408360778165e-06,"POSTN;CD163;MMP7;ADH1B;MMP2;KLK5;HBB;KRT5;PODN;ETS1;DCN;DKK3;SFRP1;ZEB2;SFRP2;COL1A2;FABP4;MRC1;KRT14;KDR;TLR4;CD200;MT1E"
"Pancreatitis, Chronic",7.13480507548788e-06,"GREM1;IL33;SFRP1;MMP7;ADH1B;LUM;ADIPOQ;TNC;SPP1;LPL;DCN;JCHAIN"
"Coronary Arteriosclerosis",7.13480507548788e-06,"IL33;MMP7;CD93;ADH1B;LUM;MMP2;ADIPOQ;TNC;ADAM33;F13A1;LPL;ETS1;GREM1;FCGR3A;FABP4;KDR;SPP1;TLR4"
"Mammary Carcinoma, Animal",7.246825250064e-06,"TLE4;FABP4;S1PR1;LPL;G0S2;CSN3;CSN2;KRT5;PTN"
"Animal Mammary Neoplasms",7.246825250064e-06,"TLE4;FABP4;S1PR1;LPL;G0S2;CSN3;CSN2;KRT5;PTN"
"Adenocarcinoma",7.246825250064e-06,"TNC;DPT;LPL;PTN;ETS1;FCGR3A;IGKC;EPB41L3;MRC1;KDR;SPP1;IL33;MMP7;LUM;MMP2;ADIPOQ;KRT5;CYP7B1;DKK3;GREM1;SFRP1;SFRP2;FABP4;DPYD;SCGB2A2;MMP19;TLR4"
"Carcinoma of bladder",7.246825250064e-06,"POSTN;CD163;MMP7;ADH1B;MMP2;TNC;KLK5;KRT5;PODN;ETS1;DCN;DKK3;SFRP1;ZEB2;COL1A2;FABP4;MRC1;KRT14;KDR;TLR4;CD200;MT1E"
